Unique ID,Unique Lake,sampledate,LSWT (°C)
AUT100774,AUT10059,03/08/2015,20.44
CHE138209,CHE12473,03/08/2015,22.16
CHE138210,CHE12473,10/08/2015,22.54
CHE138549,CHE12474,04/08/2015,20.16
CHE138553,CHE12475,18/08/2015,22.08
CHE138554,CHE12475,18/08/2015,22.95
CHE138565,CHE12480,13/08/2015,26.75
CHE138571,CHE12483,27/08/2015,19.68
CHE138581,CHE12486,17/08/2015,23.86
CHE138584,CHE12488,14/08/2015,25.99
CHE138588,CHE12491,22/08/2015,22.18
CHE138590,CHE12492,20/08/2015,22.79
CHE138595,CHE12496,04/08/2015,23.34
CHE138598,CHE12498,25/08/2015,20.58
CHE138600,CHE12499,12/08/2015,23.02
CHE138602,CHE12500,12/08/2015,21.55
CHE138604,CHE12502,20/08/2015,21.1
CYP107101,CYP10639,10/06/2015,23.49
CYP107103,CYP10640,11/06/2015,22.94
CYP107105,CYP10641,24/06/2015,24.59
CYP107106,CYP10642,17/06/2015,25.69
CYP107107,CYP10643,09/06/2015,22.08
CZE107112,CZE10644,07/07/2015,24.67
CZE107114,CZE10645,07/07/2015,23.36
CZE107116,CZE10646,09/07/2015,22.77
CZE107118,CZE10647,13/07/2015,22.75
CZE107120,CZE10648,20/07/2015,23.86
CZE107122,CZE10649,15/07/2015,20.62
CZE107124,CZE10650,15/07/2015,19.96
CZE107126,CZE10651,13/07/2015,22.01
CZE107127,CZE10652,09/07/2015,24.1
CZE107129,CZE10653,15/07/2015,18.9
CZE107131,CZE10654,07/07/2015,22.37
DEU108129,DEU10878,22/08/2015,22.78
DEU108131,DEU10879,07/08/2015,24.53
DEU108133,DEU10881,25/08/2015,21.93
DEU108141,DEU10882,27/07/2015,21.39
DEU108154,DEU10884,20/07/2015,21.72
DEU108155,DEU10884,27/08/2015,21.5
DEU108157,DEU10885,01/09/2015,22.55
DEU108159,DEU10886,31/08/2015,22.5
DEU108160,DEU10887,01/09/2015,23.52
DEU108162,DEU10888,31/08/2015,23.65
DEU108165,DEU10889,31/08/2015,20.18
DEU108166,DEU10890,31/08/2015,24.91
DEU108168,DEU10891,02/09/2015,21.62
DEU108172,DEU10893,02/09/2015,21.69
DEU108173,DEU10893,15/09/2015,21.29
DEU108175,DEU10894,11/09/2015,17.5
DEU108176,DEU10895,04/09/2015,19.83
DEU108179,DEU10896,24/08/2015,20.83
DEU108181,DEU10897,03/09/2015,21.11
DEU108183,DEU10898,11/08/2015,21.96
DEU108184,DEU10899,07/09/2015,17.95
DEU108187,DEU10900,09/07/2015,21.01
DEU108188,DEU10901,19/08/2015,21.51
DEU108191,DEU10902,20/08/2015,21.97
DEU108192,DEU10903,07/09/2015,18.42
DEU108194,DEU10904,07/09/2015,18.46
DEU108197,DEU10905,01/09/2015,22.5
DEU108198,DEU10906,07/09/2015,19.17
DEU108202,DEU10908,13/08/2015,22.09
DEU108223,DEU10928,03/09/2015,19.17
DEU108229,DEU10933,16/08/2015,23.77
DNK107134,DNK10655,12/08/2015,21.2
DNK107135,DNK10656,26/08/2015,19.2
DNK107138,DNK10657,26/08/2015,18.7
DNK107139,DNK10658,31/08/2015,19.5
DNK107143,DNK10660,25/08/2015,19.7
DNK107144,DNK10660,12/08/2015,21.8
DNK107146,DNK10661,25/08/2015,20.5
DNK107148,DNK10662,26/08/2015,17.2
ESP137788,ESP12297,05/08/2015,29.8
ESP137811,ESP12299,20/08/2015,21.4
ESP137812,ESP12300,08/09/2015,19.97
ESP137814,ESP12301,18/09/2015,23.6
ESP137816,ESP12302,04/08/2015,25.4
ESP137822,ESP12305,14/08/2015,29.93
ESP137824,ESP12306,03/08/2015,27.7
ESP137826,ESP12307,08/09/2015,25.02
ESP137828,ESP12308,10/08/2015,26.03
ESP137831,ESP12309,09/09/2015,18.79
ESP137832,ESP12310,03/09/2015,24.23
ESP137836,ESP12312,07/09/2015,25.24
ESP137892,ESP12321,21/08/2015,27.33
ESP137911,ESP12326,11/08/2015,27.99
ESP137922,ESP12330,29/07/2015,23.07
ESP137925,ESP12331,17/09/2015,17.72
ESP137932,ESP12335,13/08/2015,24.72
ESP137938,ESP12338,29/07/2015,26.2
ESP137939,ESP12339,23/07/2015,26.5
ESP137999,ESP12360,22/08/2015,28.8
ESP138000,ESP12361,22/08/2015,30.54
ESP138001,ESP12362,22/08/2015,26.21
ESP138002,ESP12363,22/08/2015,29.41
ESP138003,ESP12364,22/08/2015,28.81
ESP138004,ESP12365,23/07/2015,31.8
ESP138005,ESP12366,20/08/2015,20.2
ESP138006,ESP12367,20/08/2015,18.62
ESP138007,ESP12368,12/08/2015,24.61
ESP138012,ESP12372,21/07/2015,14.8
ESP138013,ESP12373,24/07/2015,28.94
ESP138019,ESP12377,24/07/2015,30.24
ESP138020,ESP12378,02/09/2015,18.94
ESP138037,ESP12384,10/09/2015,19.88
ESP138054,ESP12387,02/09/2015,25.26
ESP138071,ESP12397,03/09/2015,22.85
ESP138094,ESP12413,22/08/2015,28.98
ESP138096,ESP12414,22/08/2015,30
EST107222,EST10736,18/08/2015,19.4
EST107247,EST10739,25/07/2015,19.99
EST107249,EST10740,25/07/2015,20.73
EST107251,EST10741,25/07/2015,20.05
EST107255,EST10743,12/08/2015,23.32
EST107257,EST10744,25/07/2015,19.48
EST107260,EST10747,11/08/2015,24
FIN107293,FIN10754,13/08/2015,19.3
FIN107295,FIN10755,13/08/2015,19.8
FIN107297,FIN10756,05/08/2015,19.5
FIN107299,FIN10758,19/06/2001,16.7
FIN107300,FIN10759,05/08/2015,19.6
FIN107302,FIN10760,23/08/2000,18.4
FIN107309,FIN10761,17/06/2022,16
FIN107310,FIN10761,04/07/2022,23.3
FIN107311,FIN10761,15/07/2022,20.6
FIN107312,FIN10761,01/08/2022,21
FIN107313,FIN10761,22/08/2022,20.9
FIN107314,FIN10761,01/09/2022,17.5
FIN107315,FIN10761,12/09/2022,13.5
FIN107317,FIN10761,12/06/2002,21.5
FIN107318,FIN10761,25/07/2002,20.9
FIN107319,FIN10761,23/09/2002,6.5
FIN107320,FIN10761,15/06/2003,16.1
FIN107321,FIN10761,15/07/2003,24
FIN107322,FIN10761,19/07/2004,21
FIN107323,FIN10761,15/09/2004,14
FIN107324,FIN10761,16/06/2005,19
FIN107325,FIN10761,12/07/2005,23.6
FIN107326,FIN10761,19/09/2005,10.9
FIN107327,FIN10761,13/06/2006,17.1
FIN107328,FIN10761,18/07/2006,19.2
FIN107329,FIN10761,18/09/2006,13.6
FIN107330,FIN10761,26/06/2007,17.7
FIN107331,FIN10761,18/07/2007,21.1
FIN107332,FIN10761,24/09/2007,10.8
FIN107333,FIN10761,18/06/2008,17
FIN107334,FIN10761,24/07/2008,20.2
FIN107335,FIN10761,17/09/2008,9.5
FIN107336,FIN10761,08/06/2009,12.3
FIN107337,FIN10761,06/07/2009,17
FIN107338,FIN10761,31/08/2009,16.9
FIN107339,FIN10761,28/09/2009,12.1
FIN107340,FIN10761,25/07/2000,19.5
FIN107341,FIN10761,29/05/2000,13.3
FIN107342,FIN10761,29/05/2000,15.2
FIN107343,FIN10761,16/08/2000,18.3
FIN107344,FIN10761,29/05/2000,14.1
FIN107345,FIN10761,29/05/2000,12.6
FIN107346,FIN10761,29/05/2000,12.7
FIN107347,FIN10761,09/10/2003,7.8
FIN107348,FIN10761,08/08/2000,19.1
FIN107349,FIN10761,03/06/2003,14.7
FIN107350,FIN10761,24/05/2004,12.6
FIN107351,FIN10761,25/08/2004,18
FIN107352,FIN10761,08/08/2000,19.4
FIN107353,FIN10761,24/05/2000,12.1
FIN107354,FIN10761,29/05/2000,13.2
FIN107355,FIN10761,11/02/2009,0.1
FIN107356,FIN10761,29/05/2000,15.2
FIN107357,FIN10761,08/08/2000,19.8
FIN107358,FIN10761,21/05/2002,13.4
FIN107359,FIN10761,29/05/2000,12.7
FIN107360,FIN10761,22/05/2000,9.2
FIN107361,FIN10761,16/10/2006,8.2
FIN107362,FIN10761,19/08/2003,19.3
FIN107363,FIN10761,17/05/2005,10.7
FIN107364,FIN10761,29/05/2000,13
FIN107365,FIN10761,17/05/2000,7.7
FIN107366,FIN10761,22/05/2000,11.8
FIN107367,FIN10761,08/08/2000,19.6
FIN107368,FIN10761,21/05/2001,12.2
FIN107369,FIN10761,31/08/2000,17.8
FIN107370,FIN10761,28/05/2007,17.3
FIN107371,FIN10761,17/05/2000,7.8
FIN107372,FIN10761,29/05/2000,14.7
FIN107373,FIN10761,29/05/2000,15.1
FIN107374,FIN10761,14/08/2007,23.6
FIN107375,FIN10761,27/05/2008,14
FIN107376,FIN10761,29/05/2000,15.1
FIN107377,FIN10761,12/05/2020,6.8
FIN107378,FIN10761,26/08/2002,22.8
FIN107379,FIN10761,17/05/2000,8.2
FIN107380,FIN10761,25/08/2008,18
FIN107381,FIN10761,17/05/2000,7.9
FIN107382,FIN10761,16/08/2006,20.3
FIN107383,FIN10761,13/05/2009,11.5
FIN107384,FIN10761,09/08/2005,20.8
FIN107385,FIN10761,20/08/2001,19.3
FIN107386,FIN10761,03/08/2009,22
FIN107387,FIN10761,12/05/2020,6.6
FIN107388,FIN10761,30/06/2004,18.7
FIN107389,FIN10761,12/05/2020,6.8
FIN107390,FIN10762,13/08/2015,20.6
FIN107402,FIN10764,03/11/1986,5.2
FIN107403,FIN10764,14/06/1983,17.9
FIN107404,FIN10764,18/05/1983,12.4
FIN107405,FIN10764,18/05/1983,13.4
FIN107406,FIN10764,21/05/1985,9.5
FIN107407,FIN10764,18/05/1983,12.3
FIN107408,FIN10764,14/06/1983,17.8
FIN107409,FIN10764,12/06/1985,14
FIN107410,FIN10764,14/06/1983,17.9
FIN107411,FIN10764,30/10/1984,6
FIN107412,FIN10764,15/08/1984,18.6
FIN107413,FIN10764,30/10/1984,5.9
FIN107414,FIN10764,12/06/1984,16.5
FIN107415,FIN10764,21/05/1985,6.9
FIN107416,FIN10764,03/11/1986,5
FIN107417,FIN10764,08/08/1983,20.6
FIN107418,FIN10764,18/05/1983,11.4
FIN107419,FIN10764,18/05/1983,13.2
FIN107420,FIN10764,21/05/1985,8.6
FIN107421,FIN10764,14/06/1983,17.1
FIN107422,FIN10764,17/05/1983,8.7
FIN107423,FIN10764,18/06/2007,17.8
FIN107425,FIN10764,23/10/1985,6.5
FIN107426,FIN10764,14/06/1983,17.3
FIN107428,FIN10764,30/08/2022,19.7
FIN107430,FIN10764,14/08/1985,19.2
FIN107431,FIN10764,09/08/1983,21.4
FIN107432,FIN10764,18/06/2007,17.3
FIN107433,FIN10764,19/08/2022,23.1
FIN107434,FIN10764,04/07/1985,16.6
FIN107435,FIN10764,10/08/2022,19.7
FIN107437,FIN10764,15/08/1984,17.6
FIN107439,FIN10764,17/06/2022,17.7
FIN107440,FIN10764,17/06/1985,13.9
FIN107441,FIN10764,18/06/2007,17.3
FIN107442,FIN10764,20/08/1986,17
FIN107444,FIN10764,12/06/1984,16.6
FIN107445,FIN10764,20/08/1986,15.7
FIN107446,FIN10764,20/08/1986,17
FIN107447,FIN10764,20/08/1986,16.8
FIN107448,FIN10764,16/08/1984,16.6
FIN107449,FIN10764,14/08/1985,18.4
FIN107450,FIN10764,17/06/1985,13.6
FIN107451,FIN10764,14/08/1985,18.4
FIN107452,FIN10764,21/06/2022,18.1
FIN107456,FIN10766,19/05/2016,12.1
FIN107457,FIN10766,21/08/1986,14.6
FIN107458,FIN10766,18/08/2021,17.6
FIN107459,FIN10766,09/09/2014,16.1
FIN107460,FIN10766,08/08/2016,19.7
FIN107461,FIN10766,07/09/2005,14.4
FIN107462,FIN10766,26/06/1991,17
FIN107463,FIN10766,04/09/1990,14
FIN107464,FIN10767,13/09/2005,12.2
FIN107465,FIN10768,09/09/2014,15.7
FIN107466,FIN10769,20/06/2006,21.2
FIN107467,FIN10769,20/06/2006,20.4
FIN107468,FIN10770,20/06/2006,20.6
FIN107469,FIN10771,30/07/1980,24
FIN107471,FIN10772,20/08/2015,19.6
FIN107472,FIN10773,17/10/2000,10.9
FIN107475,FIN10776,30/06/2004,16.7
FIN107476,FIN10776,19/07/2004,19.8
FIN107477,FIN10776,23/09/2004,11.2
FIN107478,FIN10776,24/08/2004,15.9
FIN107479,FIN10777,22/06/2015,16
FIN107480,FIN10777,10/07/2017,18
FIN107481,FIN10777,04/08/2015,17.5
FIN107482,FIN10777,11/07/2016,16.5
FIN107483,FIN10777,27/06/2018,16.6
FIN107484,FIN10777,25/06/2009,20.3
FIN107485,FIN10777,26/06/2017,15.2
FIN107486,FIN10777,08/08/2016,18.8
FIN107487,FIN10777,30/06/2016,20.5
FIN107488,FIN10777,05/08/2015,18.2
FIN107489,FIN10777,28/07/2016,22.2
FIN107490,FIN10777,24/07/2017,17.7
FIN107491,FIN10777,06/07/2015,18.2
FIN107492,FIN10777,09/07/2018,19.2
FIN107493,FIN10777,27/06/2022,23.5
FIN107494,FIN10777,25/08/2011,17
FIN107495,FIN10777,22/07/2015,18.6
FIN107497,FIN10777,10/09/2001,13.2
FIN107498,FIN10777,07/08/2017,17.6
FIN107500,FIN10777,26/08/2013,16.6
FIN107501,FIN10777,12/07/2022,20
FIN107503,FIN10777,08/07/2009,16.3
FIN107504,FIN10777,24/07/2018,24.2
FIN107506,FIN10777,27/08/2012,15.8
FIN107507,FIN10777,23/07/2008,16.7
FIN107508,FIN10777,06/08/2018,21.7
FIN107511,FIN10777,12/08/2008,15.7
FIN107512,FIN10777,20/08/2014,16.5
FIN107513,FIN10777,22/07/2009,19
FIN107515,FIN10777,06/08/2008,16.2
FIN107516,FIN10777,30/08/2006,18.2
FIN107517,FIN10777,23/08/2010,17.7
FIN107518,FIN10778,31/05/1988,16.9
FIN107519,FIN10778,20/08/2009,14.7
FIN107520,FIN10778,11/08/2004,21.6
FIN107521,FIN10778,11/08/2022,17.3
FIN107522,FIN10778,04/08/2009,21
FIN107523,FIN10778,15/08/2007,20.7
FIN107546,FIN10781,22/05/1990,11.4
FIN107547,FIN10782,05/10/2021,9.5
FIN107548,FIN10782,09/09/2014,16.4
FIN107549,FIN10782,01/07/1992,18.1
FIN107550,FIN10783,22/05/1990,10.8
FIN107551,FIN10784,22/05/1990,11
FIN107552,FIN10785,02/07/1991,16.6
FIN107553,FIN10786,18/07/2019,18.8
FIN107554,FIN10786,15/07/2020,20.4
FIN107556,FIN10786,10/07/2012,20.3
FIN107557,FIN10786,17/08/2011,18.2
FIN107559,FIN10787,24/06/2013,19.8
FIN107560,FIN10787,11/07/2018,22.5
FIN107562,FIN10787,26/06/1991,18
FIN107563,FIN10787,25/07/2013,18.4
FIN107564,FIN10787,08/08/2016,19.4
FIN107567,FIN10787,30/07/2007,19.2
FIN107568,FIN10787,07/09/2005,14.2
FIN107569,FIN10787,31/08/2005,12.8
FIN107570,FIN10787,01/08/2016,21.7
FIN107571,FIN10787,24/07/2017,18.5
FIN107572,FIN10787,03/08/2015,17.7
FIN107573,FIN10787,28/08/2014,14.7
FIN107574,FIN10787,16/09/2015,13.7
FIN107575,FIN10787,01/09/2004,15.5
FIN107576,FIN10787,10/07/2006,22.6
FIN107577,FIN10788,22/05/1990,10.6
FIN107578,FIN10789,08/08/1991,22
FIN107579,FIN10790,03/09/2020,14.5
FIN107580,FIN10790,15/10/2020,6.1
FIN107581,FIN10790,15/09/2016,14.1
FIN107582,FIN10790,08/09/2014,16
FIN107583,FIN10790,05/10/2021,9.4
FIN107584,FIN10790,30/06/1992,20.2
FIN107585,FIN10790,05/09/2005,14.8
FIN107586,FIN10791,22/05/1990,10.7
FIN107587,FIN10792,16/08/2011,18.4
FIN107588,FIN10793,26/06/1991,17
FIN107589,FIN10793,09/09/2008,12.3
FIN107590,FIN10793,31/08/2010,13.8
FIN107591,FIN10793,15/07/2020,19.8
FIN107592,FIN10793,18/07/2019,17.7
FIN107593,FIN10793,24/07/2014,25.1
FIN107594,FIN10793,24/07/2014,25.1
FIN107595,FIN10793,08/08/2018,20.5
FIN107596,FIN10793,31/08/2022,14.8
FIN107597,FIN10793,08/09/2014,15.9
FIN107598,FIN10793,28/08/2022,18.8
FIN107600,FIN10793,05/09/2005,14.5
FIN107601,FIN10794,31/08/2017,14.3
FIN107602,FIN10794,16/09/2020,11.9
FIN107603,FIN10794,30/08/2016,15.8
FIN107604,FIN10794,15/08/2019,16.9
FIN107605,FIN10794,19/08/2018,18.9
FIN107606,FIN10794,05/08/2015,17
FIN107627,FIN10795,04/10/2000,8.7
FIN107628,FIN10795,30/09/1998,7.6
FIN107629,FIN10795,22/09/1999,10.4
FIN107630,FIN10795,30/09/1997,9.2
FIN107631,FIN10795,03/08/2011,17.6
FIN107632,FIN10795,12/09/2006,11.6
FIN107633,FIN10795,25/08/2010,10.5
FIN107634,FIN10795,21/09/2016,10.2
FIN107635,FIN10795,18/07/2018,21.9
FIN107636,FIN10795,29/06/2016,12.7
FIN107637,FIN10795,20/07/2006,12
FIN107638,FIN10795,24/09/2007,7.8
FIN107639,FIN10795,12/08/2008,13.6
FIN107640,FIN10795,21/09/2010,10.7
FIN107641,FIN10795,11/09/2012,11
FIN107642,FIN10795,12/07/2016,15.9
FIN107643,FIN10795,18/08/2020,13
FIN107644,FIN10795,18/07/2007,14.3
FIN107645,FIN10795,21/09/2015,11.5
FIN107646,FIN10795,17/08/2006,15.8
FIN107647,FIN10795,16/07/2009,13.6
FIN107648,FIN10795,18/07/2012,15
FIN107649,FIN10795,18/07/2013,13.9
FIN107650,FIN10795,08/08/2013,16.4
FIN107651,FIN10795,12/08/2014,16.6
FIN107652,FIN10795,09/09/2008,9.8
FIN107653,FIN10795,12/07/2011,17.6
FIN107654,FIN10795,14/08/2012,14.7
FIN107655,FIN10795,18/08/2016,14
FIN107656,FIN10795,08/08/2007,17.4
FIN107657,FIN10795,05/08/2009,18.6
FIN107658,FIN10795,25/09/2013,10.3
FIN107659,FIN10795,08/08/2019,12.5
FIN107660,FIN10795,20/07/2020,17.8
FIN107661,FIN10795,29/08/2018,13.9
FIN107662,FIN10795,17/09/2019,11.1
FIN107663,FIN10795,27/07/2010,15.6
FIN107664,FIN10795,28/09/2011,7.9
FIN107665,FIN10795,08/09/2009,12.6
FIN107666,FIN10795,12/09/2018,13
FIN107667,FIN10795,07/09/2020,12.9
FIN107668,FIN10795,02/09/2014,13.7
FIN107669,FIN10795,10/07/2014,16.4
FIN107670,FIN10795,18/08/2015,15.2
FIN107671,FIN10796,22/05/1990,10.6
FIN107673,FIN10797,08/09/2014,15.4
FIN107674,FIN10797,31/08/2022,15
FIN107675,FIN10797,01/09/2004,15.3
FIN107676,FIN10797,05/09/2005,14.2
FIN107677,FIN10798,22/05/1990,10.1
FIN107678,FIN10799,01/11/2006,0.2
FIN107679,FIN10799,25/07/2013,18.6
FIN107680,FIN10799,25/07/2007,19.2
FIN107682,FIN10799,06/08/2018,20.3
FIN107683,FIN10799,18/07/2019,17.1
FIN107684,FIN10799,23/07/2012,17.4
FIN107685,FIN10800,18/07/2019,17.4
FIN107686,FIN10800,28/08/2022,18.5
FIN107687,FIN10800,24/07/2017,18.3
FIN107688,FIN10800,24/07/2014,24.4
FIN107689,FIN10800,06/08/2018,19.8
FIN107690,FIN10800,24/08/2021,13.3
FIN107691,FIN10800,03/08/2015,16.5
FIN107693,FIN10800,24/07/2017,18.3
FIN107694,FIN10800,15/07/2020,19.3
FIN107695,FIN10800,31/07/2016,21.9
FIN107696,FIN10800,15/07/2020,18.6
FIN107697,FIN10800,31/07/2016,21.9
