Unique ID,Unique Lake,sampledate,sample year,deepth sample,Value Flags TURB,TURB (NTU)
BRA100886,BRA10104,13/05/2014,NA,0.3,NA,1
BRA100887,BRA10104,06/02/2014,NA,0.3,NA,4.5
BRA100888,BRA10104,13/05/2014,NA,0.3,NA,4.5
BRA100889,BRA10104,13/05/2014,NA,0.3,NA,10.1
BRA100891,BRA10104,26/03/2014,NA,0.3,NA,4.7
BRA100893,BRA10104,26/03/2014,NA,0.3,NA,5.9
BRA100894,BRA10104,13/05/2014,NA,0.3,NA,8.3
BRA100895,BRA10104,16/07/2014,NA,0.3,NA,4.5
BRA100897,BRA10104,16/07/2014,NA,0.3,NA,5.8
BRA100899,BRA10104,16/07/2014,NA,0.3,NA,12.9
BRA100900,BRA10104,26/03/2014,NA,0.3,NA,12
BRA100902,BRA10104,16/07/2014,NA,0.3,NA,6.1
BRA100903,BRA10104,06/02/2014,NA,0.3,NA,10.1
BRA100905,BRA10104,26/03/2014,NA,0.3,NA,10.4
BRA100907,BRA10104,18/09/2014,NA,0.3,NA,23.5
BRA100909,BRA10104,18/09/2014,NA,0.3,NA,50.6
BRA100910,BRA10104,06/02/2014,NA,0.3,NA,45.4
BRA100911,BRA10104,06/02/2014,NA,0.3,NA,22.1
BRA100912,BRA10104,18/09/2014,NA,0.3,NA,18.8
BRA100913,BRA10104,18/09/2014,NA,0.3,NA,40.5
CAN100980,CAN10127,02/10/2013,NA,14.5,NA,0.34
CAN100981,CAN10127,02/10/2013,NA,0,NA,0.39
CAN100982,CAN10127,24/07/2018,NA,0,NA,0.53
CAN100985,CAN10130,19/07/2004,NA,0,NA,1.03
CAN100991,CAN10133,01/08/1996,NA,0,NA,1.1
CAN100993,CAN10134,10/09/2018,NA,0,NA,4.77
CAN100994,CAN10135,05/09/2008,NA,0,NA,0.71
CAN100996,CAN10137,19/07/2004,NA,0,NA,1.28
CAN101001,CAN10141,12/11/2002,NA,0,NA,0.77
CAN101004,CAN10143,24/08/2017,NA,0.5,NA,0.71
CAN101006,CAN10145,23/08/2017,NA,0,NA,0.53
CAN101010,CAN10148,24/07/2018,NA,0,NA,0.65
CAN101011,CAN10149,25/06/1990,NA,0,NA,0.62
CAN101012,CAN10149,14/11/1990,NA,0,NA,0.9
CAN101013,CAN10149,20/07/1990,NA,0,NA,0.64
CAN101014,CAN10150,16/07/1990,NA,0,NA,0.32
CAN101015,CAN10150,25/11/1990,NA,0,NA,1.1
CAN101016,CAN10151,21/05/1990,NA,0,NA,0.81
CAN101017,CAN10151,28/07/1990,NA,0,NA,1.1
CAN101018,CAN10151,15/07/1990,NA,0,NA,1.1
CAN101019,CAN10152,28/05/1990,NA,0,NA,0.99
CAN101020,CAN10152,15/07/1990,NA,0,NA,0.42
CAN101021,CAN10152,22/10/1990,NA,0,NA,0.73
CAN101023,CAN10154,16/09/2003,NA,0,NA,1.14
CAN101027,CAN10158,28/08/2008,NA,0,NA,0.8
CAN101029,CAN10158,13/08/2008,NA,0,NA,0.85
CAN101031,CAN10160,25/07/2007,NA,0,NA,1.19
CAN101034,CAN10161,22/05/1990,NA,0,NA,1.1
CAN101035,CAN10161,18/10/1990,NA,0,NA,0.49
CAN101036,CAN10161,30/07/1990,NA,0,NA,0.55
CAN101037,CAN10162,22/08/2017,NA,0,NA,1.04
CAN101038,CAN10163,23/09/2013,NA,11.5,NA,0.64
CAN101039,CAN10163,23/09/2013,NA,0,NA,0.45
CAN101042,CAN10165,27/05/1990,NA,0,NA,1
CAN101043,CAN10165,17/07/1990,NA,0,NA,0.65
CAN101044,CAN10165,22/10/1990,NA,0,NA,0.8
CAN101045,CAN10166,19/08/1998,NA,0,NA,0.22
CAN101046,CAN10167,18/06/2014,NA,0,NA,0.73
CAN101047,CAN10167,16/07/1990,NA,0,NA,0.55
CAN101048,CAN10167,21/10/1990,NA,0,NA,1.1
CAN101049,CAN10167,18/06/2014,NA,5,NA,0.67
CAN101050,CAN10167,27/05/1990,NA,0,NA,1.2
CAN104565,CAN10170,21/05/1990,NA,0,NA,1.9
CAN104566,CAN10170,21/10/1990,NA,0,NA,0.75
CAN104567,CAN10170,15/07/1990,NA,0,NA,0.85
CAN104569,CAN10170,02/09/1998,NA,0,NA,0.39
CAN104570,CAN10171,07/08/1990,NA,0,NA,0.38
CAN104571,CAN10171,14/11/1990,NA,0,NA,0.65
CAN104572,CAN10171,06/06/1990,NA,0,NA,0.62
CAN104573,CAN10172,20/08/1990,NA,0,NA,1.4
CAN104574,CAN10172,21/10/1990,NA,0,NA,3.9
CAN104575,CAN10172,17/06/1990,NA,0,NA,2.2
CAN104577,CAN10174,08/09/2005,NA,0,NA,1.58
CAN104579,CAN10176,26/06/2014,NA,3,NA,0.55
CAN104580,CAN10176,30/08/2005,NA,0,NA,0.43
CAN104581,CAN10176,26/06/2014,NA,0,NA,0.48
CAN104582,CAN10177,03/09/1990,NA,0,NA,0.23
CAN104583,CAN10177,21/10/1990,NA,0,NA,1.7
CAN104584,CAN10178,04/09/2008,NA,0,NA,1.13
CAN104587,CAN10179,14/08/2008,NA,0,NA,1.38
CAN104588,CAN10180,31/07/2007,NA,0,NA,0.47
CAN104589,CAN10181,27/05/1990,NA,0,NA,0.9
CAN104591,CAN10181,28/10/1990,NA,0,NA,1.6
CAN104592,CAN10181,15/07/1990,NA,0,NA,0.68
CAN104593,CAN10181,08/08/1996,NA,0,NA,0.6
CAN104594,CAN10181,08/08/1996,NA,0,NA,0.6
CAN104595,CAN10182,18/08/2016,NA,9,NA,0.54
CAN104596,CAN10183,18/08/2016,NA,10,NA,0.91
CAN104597,CAN10183,18/08/2016,NA,0,NA,0.64
CAN104598,CAN10183,18/08/2016,NA,0,NA,0.65
CAN104600,CAN10185,18/08/2016,NA,12,NA,0.34
CAN104601,CAN10185,18/08/2016,NA,0,NA,0.44
CAN104602,CAN10186,27/05/1990,NA,0,NA,2.8
CAN104603,CAN10186,28/10/1990,NA,0,NA,0.47
CAN104604,CAN10186,16/07/1990,NA,0,NA,0.55
CAN104605,CAN10187,29/08/2000,NA,0,NA,0.47
CAN104608,CAN10189,30/08/2000,NA,0,NA,0.58
CAN104610,CAN10191,07/08/1996,NA,0,NA,1.2
