Unique Lake,Latitude,Longitude,Lake Name
ATA10005,-78.1,163.85,Lake Miers
ATA10005,-77.73333,162.1667,East Lake Bonney
ATA10008,-77.71667,161.6246,Lake Joyce
ATA10007,-77.62847,162.8818,Lake Hoare
ATA10009,-77.60976,163.1698,Lake Fryxell
ATA10004,-77.52963,161.5755,Lake Vanda
ATA10006,-77.43333,162.7667,Lake Brownworth
ATA10002,-68.5833,78.4167,Lake Druzhby
ARG10034,-53.75302,-36.62238,Southern Ocean
NZL12062,-46.01667,170.083,Lake Waihola
NZL12031,-45.996582,167.329983,Hauroko
NZL12035,-45.832835,167.497782,Monowai
NZL12036,-45.402106,167.701548,Te Anau
NZL12044,-45.019462,168.418587,Wakatipu
NZL12038,-44.637,169.055,Wanaka
NZL12049,-44.57966,169.2893,Hawea
NZL12002,-43.807677,172.733687,Lake Forsyth (Lake Wairewa)
NZL12061,-43.789926,172.450385,Lake Ellesmere (Te Waihora)
NZL12004,-43.73209,169.2841,Moeraki
NZL12012,-43.71143,169.4106,Paringa
NZL12029,-43.30345,170.215,Mapourika
NZL12021,-43.2504,170.2646,Wahapo
NZL12059,-43.09599,171.784415,Lake Pearson
NZL12067,-42.761886,172.249619,Lake Sheppard
NZL12057,-42.718525,172.199964,Lake Loch Katrine
NZL12030,-42.61863,171.495,Lake Brunner
NZL12034,-42.567127,171.693366,Lake Haupiri
NZL12056,-41.89422,172.6627,Rotoroa
NZL12060,-41.820413,172.837157,Lake Rotoiti (Nelson Lake)
CHL10523,-41.4616063,-72.5691535,Lake Chapo
ARG10023,-41.35,-71.51666667,Juventus
NZL12013,-41.344533,175.11503,Lake Pounui
ARG10022,-41.25,-71.28333333,Patos 
ARG10021,-41.1763314,-71.3230519,ÃƒÂ‘ireco
ARG10021,-41.0833333,-71.18333333,?Ã¹Â®irihuau
ARG10024,-41.0666667,-71.05,Juncos 
ARG10025,-41.05,-71.5,Ezquerra 
ARG10017,-41.03139,-71.500278,Nahuel Huapi
NZL12063,-40.724733,175.1705,Lake Waitawa
NZL12073,-39.452792,174.410417,Lake Rotokare
NZL12033,-39.235301,176.89497,Lake Waikopiro
NZL12032,-39.226619,176.893,Lake Tutira
NZL12064,-38.948028,177.02758,Lake Rotoroa
NZL12037,-38.947922,177.03921,Lake Rotonuiaha
NZL12077,-38.943898,177.01181,Lake Rotongaio
NZL12050,-38.777817,175.97537,Taupo
NZL12058,-38.773755,177.11047,Lake Waikaremoana
NZL12040,-38.417044,176.11597,Lake Ohakuri
NZL12053,-38.3003,176.3939,Lake Okaro
NZL12055,-38.2897,176.5006,Lake Rerewhakaaitu
NZL12048,-38.266,176.4386,Lake Rotomaha
NZL12052,-38.2185,176.31507,Lake Rotokakahi
NZL12043,-38.1997,176.4243,Lake Tarawera
NZL12054,-38.1971,176.3303,Lake Tikitapu
NZL12051,-38.1674,176.3581,Lake Okareka
NZL12045,-38.1149,176.4236,Lake Okatai
NZL12046,-38.1148,176.42325,Lake Okataina
NZL12037,-38.102,176.2825,Lake Rotorua
NZL12047,-38.0578,176.5911,Lake Rotoma
NZL12039,-38.0449,176.4245,Lake Rotoiti
NZL12042,-38.0201237,176.5324925,Rotochu
NZL12042,-38.015383,176.53057,Lake Rotoehu
AUS10053,-37.9951,144.6354,Western Treatment Plant
NZL12068,-37.942198,175.319025,Serpentine North
NZL12075,-37.932386,175.219556,Mangakaware
NZL12070,-37.927254,175.29072,Lake Ruatuna
NZL12022,-37.925977,175.31518,Lake Rotomanuka
NZL12076,-37.889,175.469984,Te Koutu
NZL12023,-37.887558,175.304366,Lake Maratoto
ARG10018,-37.83337186,-71.09999232,Lake Caviahue
NZL12018,-37.798348,175.273533,Lake Rotoroa (Hamilton)
NZL12016,-37.759533,175.19588,Lake Rotokauri
NZL12078,-37.679104,175.247701,Lake B
NZL12017,-37.6753,175.23262,Lake D (Kainui)
NZL12014,-37.667883,175.201517,Lake Areare
NZL12008,-37.56021,175.13141,Lake Waahi
NZL12010,-37.554238,175.1689,Lake Hakanoa
NZL12009,-37.494439,175.171297,Ohinewai
NZL12007,-37.485,175.11756,Rotognaro
NZL12006,-37.477005,175.107934,Rotognaroiti
NZL12003,-37.466544,175.06083,Lake Whangape
NZL12005,-37.426093,175.20036,Lake Waikare
ARG10032,-36.8,-57.78333333,Kakel Huincul
NZL12011,-36.77944,174.766746,Lake Pupuke
AUS10045,-36.5565316,147.6060067,Lake Dartmouth
NZL12025,-36.512797,174.23683,Lake Ototoa
AUS10048,-36.4222496,148.6332799,Lake Jindabyne
NZL12066,-36.36933,174.15728,Lake Kahuparere
NZL12020,-36.36485,174.14871,Lake Kanono
NZL12065,-36.35158,174.06065,Lake Mokeno
NZL12024,-36.35016,174.14637,Lake Rotokawau
NZL12072,-36.33089,174.14216,Lake Swan/Rotootuaruru
NZL12019,-36.32818,174.12941,Lake Humuhumu
NZL12074,-36.31382,174.03847,Lake Karaka
NZL12069,-36.25097,174.04006,Lake Rototuna
AUS10043,-36.12808,147.03985,Hume
NZL12071,-36.101378,173.88225,Lake Wainui
ARG10027,-35.85,-57.86666667,Triunfo
ARG10035,-35.85,-57.86666667,Triunfo Lake
ARG10019,-35.83333333,-57.8833,Lacombe Lake 
ARG10033,-35.833333,-57.883333,Lacombe Lake
ARG10026,-35.8166667,-57.81666667,Lacombe
NZL12027,-35.81562,173.65376,Lake Kai-iwi
NZL12026,-35.80769,173.64632,Lake Taharoa
NZL12028,-35.79878,173.62992,Lake Waikere
ARG10015,-35.7833333,-57.86666667,Salada 
ARG10036,-35.7,-57.91666667,Burro Lake
ARG10028,-35.66831093,-57.80594886,San Jorge 
ARG10029,-35.6166667,-57.8,Limpia
ARG10010,-35.6,-58.03333333,Chascom?Ã¹Â®s
ARG10012,-35.6,-58,Chascoms Lake
ARG10011,-35.591817,-58.057784,Lagu Chascomus
ARG10013,-35.58333333,-57.91666667,Yalca Lake
ARG10031,-35.5833333,-57.9,Yalka 
ARG10014,-35.5333333,-58.11666667,Vitel 
AUS10049,-35.445,139.082,Alexandrina
ARG10030,-35.42,-57.55,Burro
AUS10047,-35.40916111,149.0663889,Lake Tuggeranong
AUS10053,-35.37050433,150.4401827,Burrill Lake
AUS10046,-35.2880864,149.0976313,Burley Griffin
AUS10052,-35.11667,138.68333,Mount Bold Reservoir
AUS10044,-34.99883,148.60324,Burrinjuck Dam
AUS10054,-34.51801367,150.8446883,Lake Illawarra
AUS10038,-34.2418531,140.4545178,Lake Bonney
AUS10039,-34.238669,140.3653553,Wachtels Lagoon
ZAF12263,-34.029,19.209,Theewaterskloof
AUS10042,-33.8875,150.58944,Burragorang
BRA10108,-33.523,-53.13,Lagoa Mangueira
AUS10050,-33.2953854,151.5019256,Tuggerah
AUS10051,-33.0857007,151.5720067,Macquarie
AUS10041,-32.2755141,142.4574621,Lake Pamamaroo
BRA10109,-32.07861111,-52.1675,Lake Biguls
ARG10016,-31.3738,-64.439,San Roque
ZAF12273,-30.6231,25.5072,Hendrik Verwoerd
ZAF12262,-29.70805,30.867,Inanda Dam - Mgeni River
AUS10055,-28.1539822,153.2824011,Little Nerang Dam Reservoir
BRA10122,-27.7333333,-48.51666667,Peri Lake
ZAF12272,-27.66916,25.61805,Bloemhofdam
ZAF12277,-26.89472,28.14555,Vaaldam
ZAF12279,-26.8794,28.12305,Vaal Dam - Vaal River
ZAF12275,-25.905831,28.690543,Bronkhorstspruit
ZAF12274,-25.89122884,28.71715933,Bronkhorstspruit Dam Reservoir
ZAF12276,-25.8666667,28.26666667,Rietvlei Dam Reservoir
ZAF12269,-25.755,27.836,Hartbeespoort
ZAF12268,-25.7366067,27.86112708,Hartbeespoort Dam Reservoir
ZAF12278,-25.7247,27.85,Hartebeespoort Dam - Crocodile River
ZAF12271,-25.6297,28.3755,Roodeplaat
ZAF12270,-25.62604186,28.37304995,Roodeplaat Reservoir
ZAF12265,-25.453,29.288,Loskop
ZAF12264,-25.43259755,29.31058309,Loskop Dam Reservoir
ZAF12280,-25.416,29.3583,Loskop Dam - Olifants River
ZAF12266,-25.4101543,27.58835636,Roodekoppies Dam Reservoir
ZAF12267,-25.23538001,28.51010664,Rust De Winter Dam Reservoir
BRA10124,-23.7692778,-46.53330556,Billings Reservoir
BRA10125,-23.6786111,-46.71980556,Guarapiranga Reservoir
BRA10107,-23.647,-47.361,Itupararanga Reservoir
BRA10126,-23.574277,-46.628766,Aclimacao Park Lake
BRA10120,-23.3660833,-46.66866667,Paiva Castro Reservoir
BRA10121,-22.765,-53.25694,Ivinhema
BRA10123,-22.765,-53.25694,Baia
BRA10105,-22.55463571,-48.42391808,Tiete
BRA10104,-21.76072222,-48.98152778,Ibitinga Reservoir
BRA10106,-21.68055556,-43.40138889,Dr. Joao Penido Reservoir
ZWE23876,-20.625902,31.608379,Lake McDougal
BRA10110,-20.473,-40.9178,Sao Bento
BRA10111,-20.08333333,-53.16666667,Sao Domingos
BRA10118,-19.95277778,-54.89277778,Rochedo
